código_LimeSurvey,Código_JG,idade,genero,escolaridade,Dominância relatada,familiaridade com jogos ,Total_COGTEL,Total_lateralidade,tx. acerto global(software),,,,,,,,,,,,,
C001,T014,49,Masculino,Ensino superior completo,Destro,Alguma,19.6,100,0.62,,,,,,,,,,,,,
C005,T021,38,Masculino,Ensino superior completo,Destro,Alguma,29.2,78,0.59,,,,,,,,,,,,,
C006,T022,29,Feminino,Ensino superior completo,Destro,Nenhuma,32.5,74,0.86,,,,,,,,,,,,,
C007,T024,59,Masculino,Pós-graduação,Destro,Nenhuma,32.3,100,0.76,,,,,,,,,,,,,
C008,T027,25,Feminino,Ensino médio completo,Destro,Muita,35,68,0.69,,,,,,,,,,,,,
C009,T028,27,Masculino,Ensino superior completo,Destro,Muita,44.5,55,0.86,,,,,,,,,,,,,
C011,T030,31,Masculino,Pós-graduação,Destro,Alguma,37.9,100,0.87,,,,,,,,,,,,,
C012,T033,30,Masculino,Ensino superior completo,Destro,Alguma,33.4,90,0.37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Total_COGTEL,Q_Lat
,,,,,,,,,,,,,,,,,,,,,31.4,100
,,,,,,,,,,,,,,,,,,,,,33.5,-100
,,,,,,,,,,,,,,,,,,,,,32.5,100
,,,,,,,,,,,,,,,,,,,,,28.2,26
,,,,,,,,,,,,,,,,,,,,,11.3,0
,,,,,,,,,,,,,,,,,,,,,28.5,82
,,,,,,,,,,,,,,,,,,,,,15.2,100
,,,,,,,,,,,,,,,,,,,,,24,100
