move,waitedResult,optionChosen,movementTime,pauseTime,timeRunning
1,0,0,6.899200,0.000000,6.909607
2,1,1,12.398300,0.000000,20.744200
3,2,0,2.616196,0.000000,24.777500
4,0,1,4.199493,0.000000,30.360400
5,1,2,6.499100,0.000000,38.509310
6,2,2,2.816299,0.000000,42.725510
7,0,0,2.365891,0.000000,46.541400
8,1,1,2.099701,0.000000,50.091400
9,2,2,2.549393,0.000000,54.057800
10,0,0,1.982407,0.000000,57.490200
11,1,1,1.266098,0.000000,60.206800
12,2,2,1.116302,0.000000,62.740010
13,0,0,2.566513,0.000000,66.756410
14,1,1,1.716202,0.000000,69.922300
15,2,2,0.717789,0.000000,72.057100
16,0,0,1.065811,0.000000,74.571610
17,1,1,0.915604,0.000000,76.938000
18,2,2,1.016296,0.000000,79.371700
19,0,0,0.516495,0.000000,81.338000
20,1,1,0.483398,0.000000,83.270900
21,2,2,0.549606,0.000000,85.237810
22,0,0,0.833298,0.000000,87.520600
23,1,1,0.666199,0.000000,89.637010
24,2,2,0.399002,0.000000,91.453200
25,0,0,0.433594,0.000000,93.336810
26,1,1,0.565903,0.000000,95.352800
27,2,2,0.383102,0.000000,97.152910
28,1,0,0.449188,0.000000,99.052400
29,1,2,5.048904,0.000000,105.484900
30,2,1,1.432602,0.000000,108.318200
31,1,0,3.816086,0.000000,113.784600
32,1,0,2.682800,0.000000,117.850700
33,2,1,0.582825,0.000000,119.817200
34,0,1,5.165283,0.000000,126.632800
35,1,1,3.481903,0.000000,131.765500
36,2,2,1.416290,0.000000,134.599100
37,0,0,1.532990,0.000000,137.581900
38,1,1,1.166199,0.000000,140.198100
39,2,2,0.999085,0.000000,142.614400
40,0,0,1.099701,0.000000,145.164500
41,1,1,0.932892,0.000000,147.547600
42,2,2,0.816284,0.000000,149.780600
43,0,0,1.549500,0.000000,152.780300
44,1,1,0.982605,0.000000,155.213200
45,2,2,0.632904,0.000000,157.263100
46,1,0,1.666290,0.000000,160.379600
47,1,0,5.115814,0.000000,166.878700
48,2,2,3.382202,0.000000,171.644500
49,0,0,1.932281,0.000000,175.027300
50,1,1,1.316498,0.000000,177.794400
51,2,2,1.232880,0.000000,180.443900
52,0,0,1.366180,0.000000,183.260400
53,1,1,0.566376,0.000000,185.277000
