move,waitedResult,optionChosen,movementTime
1,0,2,3.088608
2,1,2,4.024597
3,2,0,2.315704
4,1,0,2.795288
5,1,0,2.038605
6,2,2,2.327408
7,0,1,6.522995
8,1,0,2.551392
9,2,0,1.524094
10,0,0,1.739502
11,1,1,3.790298
12,2,0,3.559799
13,0,0,1.704803
14,1,2,3.628479
15,2,2,1.454193
16,0,0,6.357605
17,1,1,3.187286
18,2,1,6.417114
19,0,0,2.866608
20,1,2,5.453308
21,2,0,3.006195
22,0,0,3.798706
23,1,1,2.156128
24,2,2,2.971893
25,1,0,3.364410
26,1,0,2.644592
27,2,0,3.250580
28,0,0,2.565491
29,1,2,2.802795
30,2,2,1.975983
31,1,1,3.941376
32,1,1,1.818787
33,2,2,2.820099
34,0,1,3.722992
35,1,1,3.042786
36,2,2,3.013214
37,0,0,3.460907
38,1,1,1.160706
39,2,1,1.183380
40,0,1,1.790314
41,1,1,0.903198
42,2,1,2.593597
43,0,0,2.166077
44,1,1,1.215088
45,2,0,2.677795
46,0,1,2.333801
47,1,1,0.782684
48,2,2,3.608521
49,0,0,4.569672
50,1,1,1.429993
51,2,1,2.619995
52,0,1,1.787598
53,1,1,0.451996
54,2,0,1.889282
55,0,1,1.410400
56,1,1,0.822784
57,2,0,2.914703
58,0,0,1.980286
59,1,1,1.122498
60,2,1,1.744690
61,0,0,2.869995
62,1,2,3.239502
63,2,0,1.720886
64,0,1,0.945984
65,1,1,0.536408
66,2,2,2.919128
67,0,0,3.696686
68,1,2,2.999878
69,2,2,3.001709
70,0,0,1.737823
71,1,1,1.492004
72,2,0,2.741180
73,0,0,1.248901
74,1,1,1.786621
75,2,2,2.137390
76,0,1,2.659973
77,1,1,0.913635
78,2,2,3.846802
79,0,0,2.554993
80,1,1,4.754700
81,2,0,3.372559
82,0,0,1.017395
83,1,1,2.222351
84,2,2,1.337524
85,1,0,2.202698
86,1,0,1.038269
87,2,0,0.619141
88,0,0,0.714294
89,1,2,2.684082
90,2,1,0.695435
91,0,1,0.459778
92,1,1,0.451355
93,2,1,2.081970
94,1,1,0.898865
95,1,0,1.568787
96,2,0,0.530457
97,1,0,0.486389
98,1,0,0.668579
99,2,1,0.665649
100,0,1,1.391602
101,1,1,1.989380
102,2,2,1.889221
103,0,0,4.623352
104,1,2,1.991699
105,2,1,2.626770
106,1,0,1.063293
107,1,2,1.455505
108,2,2,1.052368
109,0,0,3.795898
110,1,1,1.340332
111,2,2,2.231934
112,1,1,2.686035
113,1,0,2.117493
114,2,0,1.010010
115,0,0,0.629883
116,1,1,1.893555
117,2,1,1.052307
118,0,1,0.224060
119,1,0,0.116394
120,2,1,3.280579
121,1,1,0.474915
122,1,0,1.648315
123,2,0,0.728516
124,0,0,0.708740
125,1,2,0.720825
126,2,0,1.050720
127,0,0,0.924255
128,1,1,1.169861
129,2,1,0.797852
130,0,1,0.111755
131,1,1,0.590820
132,2,2,2.311462
133,1,0,1.919434
134,1,0,0.401245
135,2,0,0.944092
136,1,0,0.562927
137,1,0,0.342407
138,2,0,0.348999
139,0,0,0.343140
140,1,0,1.790894
141,2,1,1.658386
142,0,1,0.582581
143,1,1,0.352478
144,2,2,0.922607
145,0,2,0.934570
146,1,2,0.789978
147,2,2,0.955994
148,0,1,0.809509
149,1,1,0.494202
150,2,0,6.412598
151,1,0,2.094910
152,1,0,1.303345
153,2,0,0.587891
154,0,1,2.598389
155,1,1,0.815430
156,2,2,2.889771
157,0,2,2.193359
158,1,2,2.201721
