move,waitedResult,optionChosen,movementTime
1,0,0,1.743200
2,1,2,0.485001
3,2,1,0.786102
4,0,1,0.551300
5,1,2,0.199501
6,2,2,0.033298
7,0,2,0.116699
8,1,2,0.133602
9,2,2,0.233299
10,1,2,0.185501
11,1,2,0.235401
12,2,2,0.117798
13,0,2,0.284599
14,1,2,0.183300
15,2,2,0.050697
16,0,2,0.116901
17,1,2,0.184597
18,2,2,0.200302
19,0,2,0.016602
20,1,2,0.266403
21,2,2,0.083599
22,0,0,0.384300
23,1,0,0.033699
24,2,0,0.083397
25,0,0,0.117905
26,1,0,0.100601
27,2,0,0.049202
28,0,0,0.132500
29,1,0,0.317299
30,2,0,0.067703
31,0,0,0.015404
32,1,0,0.049500
33,2,1,0.082298
34,0,1,0.065498
35,1,1,0.200707
36,2,1,0.667496
37,0,1,0.416298
38,1,0,0.182503
39,2,1,0.401703
40,0,1,0.452499
41,1,1,0.435402
42,2,1,0.335403
43,1,0,0.702004
44,1,0,0.150597
45,2,0,0.184502
46,1,0,0.049500
47,1,0,0.167297
48,2,0,0.200501
49,0,0,0.083794
50,1,0,0.033600
51,2,0,0.116600
52,1,0,0.134399
53,1,0,0.082405
54,2,0,0.183495
55,1,0,0.183395
56,1,0,0.184700
57,2,0,0.066704
58,0,1,1.337700
59,1,1,0.451393
60,2,0,1.421600
61,1,0,0.835892
62,1,1,0.669205
63,2,1,0.317307
64,0,0,0.820007
65,1,1,0.451294
66,2,1,0.050705
67,1,0,0.483093
68,1,1,0.249603
69,2,1,0.736496
70,0,1,0.401596
71,1,1,1.471298
72,2,1,0.234604
73,0,1,0.701386
74,1,1,0.032700
75,2,1,0.367294
76,1,1,0.618195
77,1,1,0.986893
78,2,1,0.318390
79,0,1,0.568100
80,1,1,0.151993
81,2,1,0.467011
82,0,1,0.117706
83,1,2,0.083694
84,2,1,4.247498
85,1,1,0.301300
86,1,1,0.248993
87,2,1,1.069595
88,0,1,0.283508
89,1,1,0.250504
90,2,1,0.099396
91,1,1,0.049011
92,1,1,0.366989
93,2,1,0.117493
94,0,1,0.115402
95,1,1,0.267197
96,2,1,0.066498
97,0,1,0.033707
98,1,1,0.116791
99,2,1,0.284805
100,0,1,0.049789
101,1,1,0.117691
102,2,1,8.580704
103,1,1,0.768997
104,1,1,0.668198
105,2,2,0.082489
106,0,2,0.048798
107,1,2,0.217606
108,2,2,0.067200
109,0,2,0.217804
110,1,2,0.182404
111,2,2,0.249100
112,0,2,0.016800
113,1,2,0.133606
114,2,2,0.115707
115,1,2,0.033905
116,1,2,0.016403
117,2,2,0.250794
118,0,2,0.200501
119,1,2,0.234497
120,2,2,0.016907
121,1,2,0.032593
122,1,2,0.099701
123,2,2,0.200607
124,0,2,0.267792
125,1,2,0.066711
126,2,2,0.115387
127,0,0,0.466980
128,1,1,0.519470
129,2,1,0.769318
130,0,0,0.301300
131,1,1,0.918793
132,2,2,0.065186
133,0,0,0.200501
134,1,1,0.636292
135,2,2,0.385803
136,0,0,0.201782
137,1,1,0.600311
138,2,2,0.285492
139,0,0,0.469513
140,1,1,0.334106
141,2,2,0.233612
142,0,0,3.026794
143,1,1,0.267517
144,2,1,0.133484
145,0,0,0.351593
146,1,1,0.284485
147,2,2,0.503204
148,0,1,2.793213
149,1,1,1.672302
150,2,1,0.952911
151,0,0,0.267517
152,1,1,0.820007
153,2,1,0.217499
154,0,1,0.150879
155,1,1,0.250275
156,2,1,0.249390
157,0,1,7.927216
158,1,1,0.602295
159,2,2,0.385803
160,0,2,0.568207
161,1,2,0.134796
162,2,2,1.621185
163,0,2,0.049011
164,1,2,0.469391
165,2,2,0.284699
166,0,0,1.555298
167,1,1,2.909882
168,2,2,0.451386
169,0,2,0.100800
170,1,2,0.066498
171,2,2,0.232483
172,0,2,0.117798
173,1,2,0.082520
174,2,2,0.101685
175,0,2,0.200684
176,1,2,0.065613
177,2,2,0.116699
178,0,2,1.637787
179,1,2,0.117889
180,2,1,0.334412
181,0,2,0.233612
182,1,0,3.544098
183,2,1,0.601196
184,0,0,0.384918
185,1,1,0.584076
186,2,2,0.151703
187,0,0,0.233215
188,1,1,0.082397
189,2,2,0.335205
190,0,0,3.276703
191,1,2,0.167481
192,2,2,2.742401
193,0,1,0.868408
194,1,1,0.083984
195,2,1,0.183685
196,1,1,0.133698
197,1,1,0.066711
198,2,1,0.217499
199,1,1,0.117920
200,1,1,0.351593
201,2,1,0.335510
202,1,1,0.149597
203,1,1,0.183106
204,2,2,0.786102
205,0,2,0.266907
206,1,2,0.116699
207,2,2,0.015717
208,0,2,0.016998
209,1,2,0.250000
210,2,2,0.048798
211,0,2,0.083099
212,1,2,0.016785
213,2,2,0.284699
214,0,2,0.150696
215,1,2,0.049500
216,2,2,0.283112
217,0,2,0.084015
